Set	Total
{aminoglycoside, aminoglycoside ;fluoroquinolone, aminoglycoside/quinolone}	3
{MLS, lincosamide ;macrolide, lincosamide/streptogramin, ml, multidrug}	1
{beta-lactam, glycopeptide, peptide}	1
{carbapenem;cephalosporin;diaminopyrimidine ;fluoroquinolone ;lincosamide ;macrolide ;penicillin beta-lactam;phenicol ;rifamycin ;tetracycline, drug_and_biocide_resistance, multidrug}	4
{MLS, streptogramin}	6
{fluoroquinolone, fosfomycin, quinolone}	2
{drug_and_biocide_resistance, glycylcycline;tetracycline, multidrug}	2
{colistin, lipopeptide, na, peptide, polymyxin}	2
{drug_and_biocide_resistance, glycylcycline;tetracycline, multidrug, tetracycline}	2
{disinfecting agents and antiseptic, quinolone}	6
{MLS, streptogramin, streptogramin a ;streptogramin}	1
{aminoglycoside ;disinfecting agents and antiseptics;fluoroquinolone, drug_and_biocide_resistance, multidrug}	1
{cephalosporin;moenomycin ;penicillin beta-lactam;peptide, multidrug}	1
{MLS, lincosamide ;oxazolidinone ;phenicol ;pleuromutilin ;streptogramin a ;streptogramin, multidrug}	4
{carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;glycylcycline;monobactam;penicillin beta-lactam;phenicol ;rifamycin ;tetracycline, multidrug}	1
{aminoglycoside, multidrug}	6
{drug_and_biocide_resistance, fluoroquinolone ;macrolide ;phenicol ;tetracycline, multidrug}	2
{chloramphenicol, multidrug}	3
{aminoglycoside, lipopeptide}	2
{aminoglycoside, kasugamycin}	14
{na, thiostrepton}	2
{multidrug, oxazolidinone, amphenicol}	18
{chloramphenicol, nitroimidazole}	4
{fluoroquinolone ;macrolide ;penicillin beta-lactam;tetracycline, multidrug}	1
{disinfecting agents and antiseptics;fluoroquinolone, drug_and_biocide_resistance, multidrug, quinolone}	1
{bleomycin, glycopeptide}	4
{glycylcycline;tetracycline, multidrug, tetracycline}	2
{disinfecting agents and antiseptic, na, triclosan}	3
{antibacterial free fatty acid, drug_and_biocide_resistance, efflux, multidrug}	1
{multidrug, nitroimidazole}	1
{aminocoumarin ;carbapenem;peptide ;rifamycin, multidrug}	1
{drug_and_biocide_resistance, fluoroquinolone ;macrolide ;penicillin beta-lactam, multidrug}	3
{lincosamide ;pleuromutilin ;streptogramin a ;streptogramin, lincosamide/streptogramin, multidrug}	1
{amphenicol, quinolone, folate pathway antagonist, diaminopyrimidine ;fluoroquinolone ;glycylcycline;nitrofuran ;tetracycline, drug_and_biocide_resistance, multidrug, nitrofuran/phenicol/quinolone/tetracycline, quinolone}	2
{carbapenem;cephalosporin;monobactam;penicillin beta-lactam;phenicol, gold, multidrug}	1
{colistin, glycopeptide, lipopeptide, peptide, polymyxin, polypeptide}	1
{colistin, lipopeptide, polymyxin}	3
{beta-lactam/macrolide/tetracycline, drug_and_biocide_resistance, efflux, multidrug}	1
{aminoglycoside/beta-lactam/quinolone, drug_and_biocide_resistance, multidrug}	1
{disinfecting agents and antiseptics;fluoroquinolone ;tetracycline, multidrug}	2
{macrolide ;streptogramin, macrolide/streptogramin, ml, multidrug}	3
{drug_and_biocide_resistance, fluoroquinolone, multidrug, quinolone}	2
{multidrug, oxazolidinone/phenicol}	1
{MLS, aminoglycoside, macrolide}	1
{MLS, lincosamide/macrolide, macrolide, ml}	1
